Country Code;Country;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
AUS;Australia;5,027797699;-10,909091;6,458926;8,337001;15,59393;16,32324;13,84177;12,862;7,468307;7,227559;9,057049;9,084783;12,15004;9,734076;3,603496;6,761058;9,728687;9,440027;7,541864;7,450249;7,484865;3,471791;0,9742283;1,694869;2,024808;4,635587;3,353003;-0,4131604;0,8823764;1,044624;4,187311;4,259913;3,001119;2,34946;2,027639;2,142798;1,969738;2,453655;3,600818;2,312488;2,694695;2,153005;2,130459;2,400281;2,588035;2,462425;1,812424;1,604483;1,269041;0,6798787;-0,004077226;1,406068;5,545571;5,309686
AUT;Austria;3,684154034;5,190543175;6,369421959;7,380142212;9,841937065;9,352381706;10,17203999;6,075026989;3,7351861;3,775209904;5,506113052;5,244903088;5,738239765;4,283555031;5,464266777;3,660746098;3,65335989;2,103691101;2,650886059;2,702006102;2,8935709;3,406291962;4,342410088;4,273314953;3,260787964;2,278860092;1,514747977;1,104565978;1,196197987;0,731344104;1,65517199;2,61420989;2,156169891;1,409492016;1,777945042;1,68917501;0,916666687;1,618497014;1,94214201;1,769629002;1,409885049;2,350419044;2,092493057;2,073530912;1,976716995;1,84561801;1,466789007;1,971253037;1,812324047;1,653481007;1,899783;2,15;5,479479704;7,740554994
BEL;Belgium;5,294355392;1,033085704;1,636014104;18,25449753;-3,585030079;-6,482744694;5,991713047;7,958325863;6,14842701;4,169476986;-9,193451881;22,96581268;7,116648197;8,371051788;6,08528614;11,79947758;5,715803146;3,738257885;2,286309004;2,61958909;2,868923903;4,199748993;3,553561926;3,494599104;2,660609961;1,762235045;1,881924987;-5,341355324;1,762549043;1,314738989;1,825636983;2,152930975;-8,177711487;24,43782043;1,868999958;2,13902092;0,6068964;1,630501032;1,936882019;1,940063;1,398607969;1,807440996;2,23645997;1,35137403;1,574193001;1,369300961;1,959434986;1,515355945;1,312888026;3,768767595;1,479317;1,613;4,564347431;6,625928651
CAN;Canada;3,60821;2,87411;4,75703;6,331415;10,00831;10,17295;7,985262;7,544038;7,63572;8,363771;9,488149;11,11801;10,69509;6,177805;3,879261;4,048444;5,289878;4,493157;4,698497;5,432694;4,458598;6,229199;2,054381;1,929931;0,1394825;2,148216;1,512197;1,607216;1,398026;1,479119;1,680033;2,090829;2,684908;2,419907;1,340702;1,356565;1,272842;2,03976;1,064956;1,687692;1,335163;1,432658;1,354939;0,8284461;1,562716;2,552079;2,02164;1,778912;2,024031;2,292573;1,291251;2,397;5,064818954;4,125869306
DEU;Germany;3,631961;5,522059;5,493636;6,391919;6,821723;5,7249;3,990397;3,709168;2,997568;3,311449;5,279555;5,773224;4,788512;3,826226;2,491808;2,138662;0,8416129;1,206886;1,792483;2,705096;2,525961;3,855886;5,63017;5,430705;2,797233;2,01915;1,607572;1,963621;1,207862;0,6215019;0,8277841;0,8326233;1,558507;0,9428621;1,708155;1,064219;1,128121;1,935296;1,440643;1,274013;0,7095259;0,9187876;1,284642;1,260626;1,369097;1,666498;1,206361;1,227763;1,309285;1,492327;0,9620782;2,13;3,927955857;5,043582947
DNK;Denmark;-5,943670273;5,555481911;6,356823921;16,40808105;14,04693031;9,633039474;34,74061203;10,48888969;10,60931969;8,872037888;10,37166023;10,19005013;9,842066765;8,062784195;6,478290081;-1,951219559;-1,600331664;-14,03893185;5,17115593;4,70935297;3,376776934;2,955040932;2,545176983;1,757858992;2,002736092;1,925992012;1,802754998;1,850023031;1,633937001;2,477122068;2,160010099;2,200012922;2,516283989;2,324150085;1,29843998;1,383697033;1,40386498;1,413581967;13,46386528;2,258953094;1,837120056;1,807510018;1,895077944;1,210178018;0,873021483;-19,07710648;2,054507256;14,47206211;0,649819314;0,764254808;0,9335784;1,2;4,031568953;4,311718609
FIN;Finland;2,542375088;6,260890007;6,20507288;10,50469971;14,92856026;17,49719048;14,36746979;10,45919037;8,850931168;8,332464218;10,25181007;10,21924973;9,006759644;9,293492317;7,664408207;4,944663048;3,480083942;4,619152069;6,497914791;7,540660858;6,519115925;4,769410133;3,583842993;2,196546078;1,536142945;2,901046991;0,283356905;1,088672996;1,594869971;1,229972005;2,559026003;2,621094942;1,543859005;0,614233017;-0,212238297;0,185902998;1,270959973;2,640870094;2,549669981;0,398742795;1,189447999;2,041666985;2,270313978;0,982192814;1,462913036;0,56192261;0,963381529;0,658687592;0,681438029;0,82913202;0,50405103;1,726;4,164770033;6,644805898
FRA;France;-1,114381313;-17,57737732;5,955564022;7,072817802;12,15182018;-1,842246413;9,194545746;8,526509285;9,355100632;-15,13899994;13,14334965;12,5049696;11,27108955;9,467402458;23,59447861;5,657463074;4,154407024;3,97162509;3,127962112;3,188369989;3,074470997;3,407497883;3,162792921;2,637857914;1,856886029;1,905298948;1,92048502;1,129294038;2,133894682;0,297663987;0,794884682;-21,75398445;1,793082952;2,097587109;2,167557001;1,540248036;1,286190987;-11,34898472;14,63100529;-11,67707157;17,01555443;1,102934599;1,34713304;0,868492484;0,995363176;0,551420987;0,419813097;8,940865517;1,005797029;0,739262521;0,9701529;0,956;2,774832856;3,369548249
GBR;United Kingdom;-3,41356039;9,110034;6,826036;8,620473;13,82768;22,05399;15,50014;15,50164;9,599193;13,20862;18,23246;11,11149;8,20563;4,419418;5,221992;6,857926;4,525228;4,795882;5,593335;8,30204;9,701984;5,786047;4,114183;1,392592;2,514458;3,330251;2,146286;1,876615;1,444959;0,7393715;0,07555316;1,067731;1,483299;1,28286;1,069352;1,440265;1,7;1,9;1,9;1,6;2;2,8;2,1;1,9;1,6;1,3;1,6;2,3;1,9;1,7;1,5;2,3;5,341975861;5,857385399
GRC;Greece;9,395973206;2,703306913;4,560118198;15,42024994;24,06098938;14,27147007;12,73326969;11,83286953;12,00154018;19,32710075;23,74788094;22,67169952;20,87257957;20,87964058;18,49632072;19,34778976;1,563133836;17,60412979;14,26515007;12,79349041;18,4857502;7,681406975;16,79364967;16,0078907;-12,51277351;30,31498909;8,55221653;7,30230999;5,977268219;3,607157946;2,161966085;3,347867012;3,419702053;5,929142475;3,178251028;3,155412912;2,449841022;2,736804008;6,94786644;2,23129797;3,391444921;1,87688601;0,204653502;-2,022780895;-1,244974017;-1,013589025;-1,13369;0,45413819;22,30119705;-2,433150053;-0,6744373;-0,624;3,338518857;4,973583159
ITA;Italy;17,15182304;5,806656837;5,654540062;10,48346043;16,52273941;16,87681007;35,28372574;-20,30357361;12,4953804;15,30723953;40,72065735;18,20944023;17,01296043;10,5660038;11,26231956;9,580936432;6,98123312;5,387016773;5,536269188;6,384545803;6,178214073;5,832932949;5,652020931;5,317059994;4,170851231;5,04935503;4,094872952;2,59470892;-12,36438942;-3,553203583;9,690378189;10,13845444;-22,88726616;2,481007099;2,134407043;2,052376986;1,726536036;1,905655026;35,19603348;-13,39166641;13,77850437;-3,331923962;1,74516499;1,122709036;0,827120483;0,680348814;-28,61941528;0,691495419;0,608426929;0,596109092;0,49481079;0,797;2,918795181;4,153327701
JPN;Japan;6,876436;7,011904;5,595603;11,49708;20,62114;11,32714;9,783426;8,554707;5,324047;3,911158;5,897563;4,73395;3,00196;2,454233;2,771473;2,586051;1,678201;1,260014;1,009691;2,498584;2,648175;2,718959;2,447302;1,411509;0,8811575;0,4031358;0,3755218;1,699423;0,7074554;-0,1341546;-0,4871934;-0,8826973;-0,7744424;-0,3017757;-0,3890902;-0,3144146;-0,2259586;-0,140267;0,3451281;-0,7806878;-1,1038;-0,7540935;-0,4927831;-0,09334824;1,978172;1,021213;0,4040112;-0,06723353;0,1929031;0,4548088;0,1139894;-0,733;0,33632287;2,719215658
LUX;Luxembourg;4,308879;4,903973;5,209473;6,168645;9,564677;10,12164;9,5679;7,111055;3,546562;4,158898;5,833701;7,42276;8,83757;7,721537;6,32777;4,150597;2,450893;1,002084;1,82836;3,187394;3,122243;3,391084;4,281687;4,231898;2,626404;1,991761;0,9385236;1,263482;1,089688;0,8823159;2,219655;2,722034;1,88627;1,932695;1,928468;1,81621;2,06;2,119668;1,991717;2,016322;1,577641;2,387581;2,09103;2,075704;1,30674;1,606256;0,9516587;1,366979;0,8827434;1,798471;1,290133;1,567271;4,01264;3,702222
NLD;Netherlands;3,841497;8,461302;8,297783;8,219651;9,737395;10,439;8,464094;6,513712;4,782799;4,474517;6,294147;5,85131;5,434701;3,539821;3,200578;2,565394;1,187779;0,6846573;1,046561;1,178069;2,104579;2,793696;3,716632;3,608108;2,927201;2,293737;3,773056;1,689404;2,0604;2,235505;1,558887;3,549433;3,375993;2,014584;1,534633;1,188854;0,3577217;1,483435;1,841722;1,76143;1,589399;1,76072;2,002047;2,737481;1,421008;1,26856;0,8100381;0,9867315;1,292799;2,005146;2,125606;1,917532;4,249225;5,609972
NZL;New Zealand;6,737318;11,0255;7,566193;7,538775;11,13622;15,63399;16,05903;13,17341;12,24854;12,51954;16,12924;15,26796;17,15868;8,370986;6,190569;15,37361;14,99257;16,71515;6,763357;5,312275;5,897911;2,961046;1,146132;1,268684;2,303313;4,318731;2,424182;0,9497558;1,046262;-0,3711928;2,298676;2,11478;2,725878;1,831695;2,151221;2,843682;2,78082;2,353874;1,96302;2,613563;1,876562;2,621441;1,304559;1,236995;1,483169;1,267853;1,372489;1,400998;1,153811;1,835353;2,312568;3,712;6,001336898;5,647189396
PRT;Portugal;9,533917427;14,96420956;11,76445961;15,58401966;21,60330963;-33,33876419;20,15793037;27,53440094;22,3990593;18,75871086;14,83148956;18,19564056;18,83330917;21,04418945;25,46632957;20,85713005;2,558177948;-3,451882839;12,41226006;14,58574009;13,28722954;14,68437958;12,41221046;10,5557003;13,11282349;5,309660912;3,693490982;5,317002773;2,332813025;2,796001911;2,843014002;3,543170929;4,761362076;3,360658884;2,514370918;-17,31744385;13,23724842;2,353313923;1,988088965;1,124838948;0,99159801;-1,11286366;-20,14178085;0,1891651;0,074026018;-24,84578514;0,738135278;1,088435054;0,668082774;0,488877386;-0,03927258;0,752;5,609879518;5,023508626
SWE;Sweden;6,71755743;6,906665;5,760381;6,438303;9,047326;9,822959;9,481594;11,22659;9,729996;6,714647;12,47151;10,98426;7,410018;8,631574;7,704841;6,834989;4,835609;4,71104;6,078259;6,28042;8,833699;10,74184;4,254207;4,513829;2,439257;2,692443;1,438249;0,2381281;-0,5439603;0,345094;0,3381326;1,840993;1,990745;1,094301;0,1766031;0,005167173;0,7492014;2,557605;2,072597;-0,9521449;0,5114896;3,009032;0,8686122;-0,2368044;-0,02457442;0,02402181;0,8972504;1,372794;1,092646;1,519436;1,190226;1,298;5,824349442;10,02449583
USA;United States;6,245934;4,694836;3,061026;3,480893;8,244972;9,221416;6,571826;6,253627;7,305749;9,735302;12,42027;10,47039;7,404986;3,929751;4,943952;4,376245;4,040019;4,118036;4,413424;4,503714;5,026814;4,909259;3,65918;3,303728;2,853075;2,992227;2,703681;2,385866;2,286023;2,076324;2,434316;2,67065;2,319126;1,457075;1,759607;2,169951;2,501348;2,33707;2,297935;1,699436;0,9585605;1,658561;2,110004;1,763072;1,749671;1,828419;2,210902;1,84449;2,139733;2,19197;1,702817;3,572;6,152031455;4,781925874